"","x","route","location","url","avg_stars","route_type","rating","pitches","length","area_latitude","area_longitude","desc","protection","num_votes"
"1",44174,"The Confessional","Watchtower Main > The Watchtower > Ferguson Canyon > Wasatch Range > Utah","https://www.mountainproject.com/route/105739910/the-confessional",2.2,"Trad, TR","5.6",1,50,40.61344,-111.7792,"Climb the big chimney just to the left of Extreme Unction.  Walk around the first big wall of the Watchtower back into the corner.  You can stay out on the face or wedge yourself way into the chimney.","I top-roped this route from the top of Extreme Unction.  It's a great chimney with lots of cracks and seams for trad pro as well.",86
"2",1949,"Amanda","The Hot Tub > Steve Canyon Area > The Outback > Joshua Tree National Park > California","https://www.mountainproject.com/route/105724939/amanda",2.8,"Trad","5.10a",1,70,34.01924,-116.16711,"This is the bolted face route just right of The Dharma Bums (5.8)~ and climbs past several horizontals and 5 bolts to a bolted anchor atop the formation. Two stars out of five.","5 bolts~ gear to 2""~ bolted anchor/rap",40
"3",16019,"Deer Camp","Hudson Mountain > Cowell/Deer Area > Arkansas","https://www.mountainproject.com/route/110196951/deer-camp",2.9,"Sport","5.10c",1,50,35.85138,-93.12402,"Consistently fun~ with technical footwork that sets up for interesting moves. The base of the climb was very wet~ but you can avoid the pool of water by starting on the left and walking the ledge to the first bolt. Gets a lot of sun and drys fast.","5 Draws plus anchors.",38
"4",63163,"Commeterme","King Pins > Sunshine Wall > Frenchman Coulee, AKA Vantage > Central Region > Washington","https://www.mountainproject.com/route/108762318/commeterme",2.5,"Trad","5.10b",1,90,47.02297,-119.97362,"This route deserves more then the 1 star it gets in the book. The PG rating also does not apply any more than the usual loose rock at Vantage. The PG rating is for the bottom broken ragged crack~ the Corner Pocket crack or the bolted Ancients could be climbed to pillar top anchor~ then step right.    The description of hand crack at the top does not prepare you for the burly fingers layback without the usual face holds.     Good to save #2 Camalot for top tight hands crack.","gear to 3""~ the lower half would take hex's well in the funky pods. save some #.4~ #.5 #.75~ #1 for the upper layback and #2 camalot for tight hands jam at top.  This route now has a 2 bolt chains anchor~ 2/2/2020.",13
"5",15483,"Party in the Back","Mullet Buttress > Horseshoe Canyon Ranch > Arkansas","https://www.mountainproject.com/route/106137091/party-in-the-back",2.4,"Sport","5.8",1,45,36.0118,-93.2922,"Left trending~ sustained and slightly overhanging climbing on some of the biggest holds at the ranch.","Five bolts to a two bolt anchor.",16
"6",14363,"Hagakure","Hen and Chickens > Lumpy Ridge > Estes Park Valley > Colorado","https://www.mountainproject.com/route/105756805/hagakure",2.5,"Trad, TR","5.12a",1,60,40.40313,-105.51698,"A good toprope problem or fairly scary lead~ Hagakure is on Hen and Chicken Rock~ the small buttress directly below the SE corner of the East Owl (about 100 feet high~ with a pointy summit). The approach trail which branches left about 1/4 mile up the Gem Lake trail leads directly to it.  The route starts in the large left-facing corner on the right side of the rock (Cackle Crack). Branch out left in a tricky 5.11 crack after about 10 feet. Reach a small ledge~ rest~ and continue up a right-angling seam~ with some fixed pitons (crux).  Rappel from a fixed anchor or continue on Cackle Crack. You can scramble up to a ledge below the summit block to set up a toprope off of gear~ but it is almost as easy and much nicer to lead Cackle Crack to the same spot.","Bring very small gear.",15
"7",57183,"Heard It On NPR","Washboard Wall > Muir Valley > Red River Gorge > Kentucky","https://www.mountainproject.com/route/107123636/heard-it-on-npr",3.2,"Sport","5.10d",2,100,37.72738,-83.62942,"This long route is the left-most sport route on the Washboard Wall. Locate the high first bolt left of ""Spider Crux"". You may want to place a piece of pro here. Follow five bolts up moderate terrain to a spacious ledge with a two-bolt anchor. Belay here to reduce rope drag or continue through the overhanging pocketed face past six more bolts to another two-bolt anchor. Use a 60m rope.    I strongly suggest belaying from the intermediate anchors for the top part. The rope drag up top is horrendous when your belayer is at the bottom.","11 bolts + 60m rope.    If belaying from the bottom~ a 60m rope isn't quite long enough from my experience.",22
"8",15694,"The Controversy","The North Forty > Horseshoe Canyon Ranch > Arkansas","https://www.mountainproject.com/route/105976420/the-controversy",2.8,"Sport","5.9",1,65,36.00881,-93.29549,"Start up some overhanging rock then move out right to the arete.  The route finishes at a two bolt anchor left of the arete.","Seven bolts and a two bolt anchor.",112
"9",83952,"Terra Firma Homesick Blues","Upper Broadway > South Peak - East Face > Seneca Rocks > West Virginia","https://www.mountainproject.com/route/105988012/terra-firma-homesick-blues",3.5,"Trad","5.11c PG13",1,100,38.8344,-79.36659,"Fine climbing and a good old school route. Runout is least of worries if you can do the crux. Climb crack in corner to end~ then left to crack (5.11) up to bold face moves (5.10 PG). There may be cold shuts @ 100'~ these were not there in '86 when I lead it.","brass nuts~ stoppers~ small camming units~ ball nuts helpful.",16
"10",48804,"Sweaty Bully","Gun Street Wall > Aspen Glade > Wild Iris > Lander Area > Wyoming","https://www.mountainproject.com/route/106811964/sweaty-bully",2.2,"Sport","5.10b",1,50,42.5928,-108.7413,"A decent 5.10- that climbs vertical to slabby rock. Worth doing if you need a 5.10 warm up for the area.","Bolts to a two bolt anchor.",38
